Address,Zip,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
2005 BELMONT RD NW,20009," $1,150,000 "," $1,025,000 ", $-   ,3,3,1,11/26/2013
1248 FAIRMONT ST NW,20009," $995,000 "," $990,000 ", $-   ,5,3,1,11/21/2013
2380 CHAMPLAIN ST NW #304,20009," $719,000 "," $700,000 ", $500 ,2,2,0,11/25/2013
1755 HOBART ST NW,20009," $889,900 "," $890,000 ", $-   ,4,3,0,11/20/2013
2337 17TH ST NW,20009," $585,000 "," $595,000 "," $13,500 ",2,1,0,11/27/2013
1750 HARVARD ST NW #6D,20009," $299,555 "," $301,555 ", $825 ,1,1,0,11/15/2013
1758 U ST NW #3,20009," $599,000 "," $599,000 ", $-   ,2,2,0,11/21/2013
1200 EUCLID ST NW #2,20009," $485,000 "," $485,000 "," $9,500 ",1,1,1,11/15/2013
1448 HARVARD ST NW #2,20009," $519,000 "," $519,000 ", $-   ,2,2,0,11/22/2013
2922 18TH ST NW #2,20009," $599,900 "," $599,900 ", $250 ,2,2,0,11/22/2013
1811 VERNON ST NW #204,20009," $449,555 "," $449,555 ", $500 ,1,1,0,11/15/2013
2410 17TH ST NW #301,20009," $849,000 "," $849,000 ", $-   ,2,2,1,11/18/2013
1210 R ST NW #215,20009," $499,000 "," $529,000 ", $-   ,2,1,0,11/26/2013
1314 W ST NW #C,20009," $339,000 "," $336,500 ", $400 ,1,1,0,11/18/2013
1449 CORCORAN ST NW #1,20009," $524,900 "," $550,000 ", $-   ,2,2,0,11/25/2013
2446 ONTARIO RD NW #2,20009," $669,900 "," $685,000 ", $-   ,2,2,0,11/22/2013
2020 12TH ST NW #508,20009," $595,000 "," $625,000 ", $-   ,2,2,0,11/25/2013
1930 BILTMORE ST NW #04,20009," $829,000 "," $803,000 ", $-   ,2,2,0,11/8/2013
2125 14TH ST NW #321,20009," $349,900 "," $347,000 "," $9,000 ",1,1,0,11/21/2013
1829 S ST NW #3,20009," $579,000 "," $565,000 ", $-   ,2,2,0,11/20/2013
1418 W ST NW #501,20009," $454,900 "," $490,100 ", $-   ,1,1,0,11/25/2013
2307 15TH ST NW #4,20009," $1,350,000 "," $1,360,000 ", $-   ,2,2,0,11/25/2013
2125 14TH ST NW #217,20009," $499,900 "," $525,750 ", $-   ,1,1,0,11/25/2013
1860 CALIFORNIA ST NW #401,20009," $334,900 "," $334,900 ", $250 ,1,1,0,11/15/2013
1601 18TH ST NW #709,20009," $230,000 "," $230,000 ", $-   ,0,1,0,11/14/2013
1616 T ST NW,20009," $1,700,000 "," $1,700,000 "," $2,500 ",6,3,1,11/26/2013
1829 S ST NW #1,20009," $499,000 "," $490,000 ", $-   ,1,1,1,11/21/2013
1830 17TH ST NW #206,20009," $525,000 "," $536,000 ", $-   ,1,1,1,11/22/2013
1915 CALVERT ST NW #201,20009," $699,999 "," $750,000 ", $-   ,2,2,0,11/15/2013
1801 13TH ST NW #3,20009," $950,000 "," $950,000 ", $-   ,3,3,0,11/27/2013
3430 BROWN ST NW #6,20010," $739,000 "," $715,000 ", $-   ,3,3,0,11/18/2013
3318 SHERMAN AVE NW #T-2,20010," $334,900 "," $319,000 "," $3,000 ",2,1,0,11/14/2013
3500 13TH ST NW #305,20010," $345,000 "," $340,000 "," $1,000 ",1,2,0,11/22/2013
622 ROCK CREEK CHURCH RD NW ##1,20010," $549,900 "," $544,000 ", $-   ,2,2,1,11/7/2013
737 IRVING ST NW,20010," $470,000 "," $418,000 ", $-   ,3,1,0,11/15/2013
3500 13TH ST NW #304,20010," $325,000 "," $320,000 ", $-   ,1,1,0,11/5/2013
3500 13TH ST NW #209,20010," $410,000 "," $410,000 ", $200 ,2,1,0,11/29/2013
1708 NEWTON ST NW #302,20010," $379,900 "," $375,000 ", $-   ,2,1,0,11/8/2013
3328 SHERMAN AVE NW #1,20010," $389,900 "," $389,900 "," $5,848 ",2,1,0,11/1/2013
3602 16TH ST NW #1,20010," $519,000 "," $519,000 ", $-   ,2,2,0,11/15/2013
1450 NEWTON ST NW,20010," $705,325 "," $732,470 "," $17,200 ",4,2,1,11/8/2013
1409 OAK ST NW,20010," $674,900 "," $732,000 ", $-   ,3,2,1,11/22/2013
1815 IRVING ST NW,20010," $699,555 "," $837,000 ", $-   ,4,2,0,11/15/2013
1338 MERIDIAN PL NW,20010," $709,500 "," $720,000 "," $20,000 ",3,2,0,11/27/2013
624 LAMONT ST NW,20010," $659,000 "," $650,000 "," $12,500 ",3,3,1,11/15/2013
3337 17TH ST NW,20010," $729,000 "," $800,000 ", $-   ,4,2,1,11/22/2013
1881 INGLESIDE TER NW,20010," $599,900 "," $610,000 ", $-   ,3,2,0,11/1/2013
1636 IRVING ST NW #5,20010," $369,900 "," $385,000 ", $-   ,1,1,0,11/8/2013
449 LURAY PL NW,20010," $469,000 "," $469,000 ", $-   ,3,1,1,11/7/2013
3511 13TH ST NW #402,20010," $474,900 "," $474,000 "," $3,500 ",2,1,0,11/15/2013
511 KENYON ST NW,20010," $549,900 "," $530,000 ", $-   ,4,4,0,11/5/2013
1430 NEWTON ST NW #101,20010," $449,000 "," $444,000 ", $-   ,2,2,0,11/14/2013
