line,name,address,description,trade_name
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1211 U ST NW, WASHINGTON, DC 20009",Tavern,Next Door
"blue, orange",McPherson Sq,"1400 I ST NW, WASHINGTON, DC 20005",Nightclub,Opera Ultra Lounge
"green,yellow",Georgia Ave | Petworth,"3632 GEORGIA AVE NW, WASHINGTON, DC 20010",Tavern,Parkview Patio
"green,yellow",Archives | Navy Mem,"639 INDIANA AVE NW, Washington, DC 20004",Tavern,Penn Quarter Sports Tavern
"blue, orange",Eastern Market,"525 8TH ST SE, Washington, DC 20003",Tavern,Phase I
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1326 U ST NW, Washington, DC 20009",Nightclub,Pure Nightclub & Lounge
red,Farragut North,"1823 L ST NW, WASHINGTON, DC 20036",Tavern,Recessions II
"blue, orange",Farragut West,"1823 L ST NW, WASHINGTON, DC 20036",Tavern,Recessions II
"green,yellow",Shaw | Howard Univ,"624 T ST NW, WASHINGTON, DC 20001",Tavern,Right Proper Brewing Company
red,Cleveland Park,"3415 - 3417 CONNECTICUT AVE NW, Washington, DC 20008",Tavern,Ripple
"red, green, yellow",Gallery Pl | Chinatown,"714 7TH ST NW, WASHINGTON, DC 20001",Tavern,Rocket Bar
red,Farragut North,"1215 CONNECTICUT AVE NW, Washington, DC 20036",Tavern,Rosebar
red,Dupont Circle,"1723 CONNECTICUT AVE NW, WASHINGTON, DC 20009",Tavern,Salty Dog Tavern
"red, blue, orange",Metro Center,"734 11th ST NW, Washington, DC 20001",Tavern,Sax Restaurant & Lounge
"green,yellow",Shaw | Howard Univ,"520 FLORIDA AVE NW, WASHINGTON, DC 20001",Tavern,Shaws Tavern
"red, blue, orange",Metro Center,"1331 F ST NW, Washington, DC 20005",Tavern,Shellys Back Room
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1942 11TH ST NW, Washington, DC 20001",Tavern,Sollys U Street Tavern
red,Takoma,"6914 4TH ST NW, WASHINGTON, DC 20012",Tavern,Takoma Station Tavern
"blue, orange",McPherson Sq,"1413 K ST NW, Washington, DC 20005",Nightclub,Tattoo
"green,yellow",Georgia Ave | Petworth,"3911 GEORGIA AVE NW, WASHINGTON, DC 20011",Tavern,TBD
"blue, orange",Farragut West,"1716 I ST NW A, Washington, DC 20006",Tavern,The Bottom Line
green,Navy Yard-Ballpark,"25 M ST SE, WASHINGTON, DC 20003",Tavern,The Bullpen
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1334 U ST NW A, WASHINGTON, DC 20009",Tavern,The Codmother
red,Union Station,"4 F ST NW, Washington, DC 20001",Tavern,The Dubliner
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"2009 14TH ST NW, WASHINGTON, DC 20009",Tavern,The Gibson
red,Farragut North,"1730 M ST NW, WASHINGTON, DC 20036",Nightclub,The Huxley
red,Farragut North,"1140 CONNECTICUT AVE NW, Washington, DC 20036",Tavern,The Improvisation
"green,yellow",Georgia Ave | Petworth,"3634 GEORGIA AVE NW, Washington, DC 20010",Tavern,The Looking Glass Lounge at Temperance Hall
"red, green, yellow",Gallery Pl | Chinatown,"711 - 713 H ST NW, WASHINGTON, DC 20001",Tavern,The Matchbox
"blue, orange",Eastern Market,"406 8TH ST SE, Washington, DC 20003",Tavern,The Old Siam
"blue, orange",McPherson Sq,"920 14TH ST NW, WASHINGTON, DC 20005",Nightclub,The Park Place at 14th
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1205 U ST NW, WASHINGTON, DC 20009",Tavern,The Saloon
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"2001 11TH ST NW A, Washington, DC 20001",Tavern,The Tap & Parlour/Bohemian Caverns
red,Cleveland Park,"3412 CONNECTICUT AVE NW, WASHINGTON, DC 20008",Tavern,The Uptown Tap House
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1334 U ST NW B, WASHINGTON, DC 20009",Tavern,Touchdown
"blue, orange",Potomac Ave,"1420 PENNSYLVANIA AVE SE, WASHINGTON, DC 20003",Tavern,Trustys Bar
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1344 U ST NW, WASHINGTON, DC 20009",Tavern,Twin Jazz
red,NoMa-Gallaudet U,"1275 1st ST NE, Washington, DC 20002",Tavern,Tynan Coffee & Tea
"red, green, yellow",Gallery Pl | Chinatown,"911 F ST NW, Washington, DC 20001",Nightclub,Ultrabar/Chroma
"red, blue, orange",Metro Center,"911 F ST NW, Washington, DC 20001",Nightclub,Ultrabar/Chroma
"red, blue, orange",Metro Center,"733 10TH ST NW, WASHINGTON, DC 20001",Tavern,Umaya
red,Union Station,"50 MASSACHUSETTS AVE NE F, Washington, DC 20002",Tavern,Uno Chicago Grill
"blue, orange",Potomac Ave,"1432 PENNSYLVANIA AVE SE, WASHINGTON, DC 20003",Tavern,Wisdom
red,NoMa-Gallaudet U,"150 M ST NE, WASHINGTON, DC",Tavern,Wunder Garten
